station_code,station_name,state,district,observation_date,season,max_temp_c,min_temp_c,avg_temp_c,rainfall_mm,relative_humidity_percent,wind_speed_kmh,wind_direction,visibility_km,cloud_cover_percent,sunshine_hours,atmospheric_pressure_hpa,soil_temperature_c,heat_index_c,dew_point_c,flood_warning,cyclone_alert,rainfall_category,weather_condition
IMD1010,Siliguri Weather Station,West Bengal,Siliguri,2024-05-08,Summer,34.5,25.0,31.9,2.22295241226998,54,5.7,E,12.2,49,5.2,1028.5,33.6,34.6,22.7,No,No,Light,Haze
IMD1011,Jodhpur Weather Station,Rajasthan,Jodhpur,2020-02-12,Winter,24.5,12.4,18.1,1.0,51,12.8,N,3.2,41,10.5,1006.4,18.7,20.7,8.3,No,No,Light,Cloudy
IMD1012,Patiala Weather Station,Punjab,Patiala,2021-12-04,Winter,18.4,9.7,12.8,8.048901171928323,51,4.6,SE,3.8,41,3.2,1011.2,11.0,15.4,3.0,No,No,Light,Fog
IMD1013,Hubballi Weather Station,Karnataka,Hubballi,2020-06-13,Monsoon,26.0,16.0,23.0,40.3,57,8.6,SE,2.2,40,1.0,1014.4,23.8,25.9,14.4,No,No,Moderate,Cloudy
IMD1014,Meerut Weather Station,Uttar Pradesh,Meerut,2024-12-28,Winter,25.4,16.9,20.9,1.6788474542304457,37,11.0,NW,5.8,28,10.1,1027.7,23.5,22.8,8.3,No,No,Light,Fog
IMD1015,Nashik Weather Station,Maharashtra,Nashik,2023-07-24,Monsoon,30.8,21.3,25.8,11.1,45,28.0,SW,13.1,46,11.5,1012.2,28.1,28.1,14.8,No,No,Light,Rain
IMD1016,Mysuru Weather Station,Karnataka,Mysuru,2022-01-04,Winter,24.9,15.4,21.2,4.426341352028414,44,15.9,N,12.8,48,6.0,1024.6,23.3,23.4,10.0,No,No,Light,Cloudy
IMD1017,Siliguri Weather Station,West Bengal,Siliguri,2024-10-19,Post-Monsoon,30.0,24.2,27.7,4.491895151480525,47,20.6,SW,1.8,48,0.6,1006.6,27.6,30.1,17.1,No,Yes,Light,Thunderstorm
IMD1018,Jaipur Weather Station,Rajasthan,Jaipur,2023-03-20,Summer,41.6,33.1,36.4,1.0,51,22.9,SW,4.5,88,5.5,1005.9,37.3,38.9,26.6,No,No,Light,Rain
IMD1019,Pune Weather Station,Maharashtra,Pune,2021-11-21,Post-Monsoon,27.1,20.4,24.5,8.662676657145623,56,29.6,NW,8.5,60,12.0,1021.9,23.2,27.3,15.7,No,No,Light,Rain
IMD1020,Hubballi Weather Station,Karnataka,Hubballi,2024-12-30,Winter,26.7,16.1,20.4,1.0,46,28.5,N,5.5,49,2.7,1020.9,22.8,22.7,9.6,No,No,Light,Rain
IMD1021,Meerut Weather Station,Uttar Pradesh,Meerut,2021-08-06,Monsoon,38.1,32.1,34.3,34.5,54,20.4,E,3.8,34,6.3,1010.4,36.1,37.0,25.1,No,No,Moderate,Fog
IMD1022,Mysuru Weather Station,Karnataka,Mysuru,2024-09-15,Monsoon,36.0,25.1,31.5,18.7,53,12.0,NE,2.4,78,6.5,1016.9,30.9,34.1,22.1,No,No,Light,Cloudy
IMD1023,Patiala Weather Station,Punjab,Patiala,2022-12-02,Winter,24.2,13.5,17.5,7.372295187878999,54,5.3,W,11.7,55,6.2,1009.2,16.3,20.2,8.3,No,No,Light,Cloudy
IMD1024,Bengaluru Weather Station,Karnataka,Bengaluru,2021-02-02,Winter,24.5,14.4,17.6,1.454039127052349,43,3.9,N,1.2,83,3.9,1023.1,15.7,19.8,6.2,No,No,Light,Cloudy
IMD1025,Durgapur Weather Station,West Bengal,Durgapur,2024-02-05,Winter,19.1,12.7,15.6,21.49085527361637,50,12.0,SW,4.0,3,9.0,1020.8,17.5,18.1,5.6,No,No,Moderate,Cloudy
IMD1026,Hubballi Weather Station,Karnataka,Hubballi,2022-04-28,Summer,37.2,27.7,31.9,3.597507489881067,44,16.2,NW,13.2,36,1.7,1006.1,33.6,34.1,20.7,No,No,Light,Clear
IMD1027,Amritsar Weather Station,Punjab,Amritsar,2020-09-15,Monsoon,36.0,25.6,29.4,14.2,44,18.4,SW,5.0,27,4.7,1008.1,27.6,31.6,18.2,No,No,Light,Fog
IMD1028,Patiala Weather Station,Punjab,Patiala,2024-08-26,Monsoon,39.6,28.6,34.3,44.2,65,38.4,E,6.9,60,1.7,1009.3,36.6,37.5,27.3,No,No,Moderate,Cloudy
IMD1029,Amritsar Weather Station,Punjab,Amritsar,2024-06-03,Monsoon,27.8,22.9,25.6,67.7,84,17.8,SE,10.3,7,0.7,1015.1,24.2,29.8,22.4,No,No,Moderate,Haze
IMD1030,Kanpur Weather Station,Uttar Pradesh,Kanpur,2020-07-03,Monsoon,29.2,22.8,27.0,70.9,78,32.9,SE,12.0,43,8.1,1004.7,25.4,30.9,22.6,No,No,Moderate,Clear
IMD1031,Udaipur Weather Station,Rajasthan,Udaipur,2021-08-20,Monsoon,30.6,20.7,26.6,29.1,52,3.3,NE,2.5,31,3.5,1019.0,25.2,29.2,17.0,No,No,Moderate,Clear
IMD1032,Coimbatore Weather Station,Tamil Nadu,Coimbatore,2024-05-26,Summer,43.0,31.3,36.1,1.0,48,25.4,W,13.3,77,3.5,1030.2,35.7,38.5,25.7,No,Yes,Light,Rain
IMD1033,Nashik Weather Station,Maharashtra,Nashik,2022-11-03,Post-Monsoon,25.5,18.1,22.0,2.93596131015301,43,24.8,NW,13.0,93,7.2,1005.4,23.7,24.1,10.6,No,No,Light,Cloudy
IMD1034,Ludhiana Weather Station,Punjab,Ludhiana,2022-03-28,Summer,38.3,31.5,35.3,6.579611379532521,55,12.0,E,6.4,33,8.7,1000.8,37.1,38.0,26.3,No,No,Light,Haze
IMD1035,Lucknow Weather Station,Uttar Pradesh,Lucknow,2023-10-09,Post-Monsoon,32.3,26.0,28.5,1.0,40,11.5,NE,6.1,32,4.3,1007.2,27.8,30.5,16.5,No,No,Light,Clear
IMD1036,Madurai Weather Station,Tamil Nadu,Madurai,2023-06-25,Monsoon,37.0,24.7,31.0,47.2,63,39.0,SW,5.0,81,10.4,1011.1,33.9,34.1,23.6,No,No,Moderate,Thunderstorm
IMD1037,Pune Weather Station,Maharashtra,Pune,2021-04-26,Summer,37.8,26.5,31.6,1.0,51,33.7,SW,14.2,23,9.8,1025.7,30.3,34.1,21.8,No,No,Light,Clear
IMD1038,Bengaluru Weather Station,Karnataka,Bengaluru,2022-04-30,Summer,34.5,21.9,27.9,1.0,41,32.3,NE,3.4,34,5.1,1015.0,29.8,29.9,16.1,No,No,Light,Thunderstorm
IMD1039,Chennai Weather Station,Tamil Nadu,Chennai,2024-08-22,Monsoon,33.8,24.8,27.4,14.4,56,11.4,N,9.9,69,8.6,1028.1,29.8,30.2,18.6,No,No,Light,Fog
IMD1040,Jaipur Weather Station,Rajasthan,Jaipur,2023-01-26,Winter,25.7,16.9,20.4,1.0,43,17.7,NW,1.6,8,10.4,1015.5,22.4,22.5,9.0,No,No,Light,Cloudy
IMD1041,Nashik Weather Station,Maharashtra,Nashik,2020-12-14,Winter,19.0,9.8,15.9,1.4638417026286001,51,23.6,SE,6.6,91,9.8,1018.6,16.1,18.4,6.1,No,No,Light,Fog
IMD1042,Ludhiana Weather Station,Punjab,Ludhiana,2022-01-17,Winter,18.1,13.5,15.7,4.372976279131939,48,28.4,SE,10.5,19,10.3,1014.3,16.3,18.1,5.3,No,No,Light,Haze
IMD1043,Durgapur Weather Station,West Bengal,Durgapur,2020-04-13,Summer,41.4,29.9,35.0,2.321616643067546,48,26.8,W,14.6,84,8.2,1016.7,33.4,37.4,24.6,No,Yes,Light,Cloudy
IMD1044,Kanpur Weather Station,Uttar Pradesh,Kanpur,2023-09-06,Monsoon,37.9,29.1,32.6,31.9,68,17.4,S,5.0,23,6.4,1013.1,34.8,36.0,26.2,No,No,Moderate,Fog
IMD1045,Nashik Weather Station,Maharashtra,Nashik,2020-07-06,Monsoon,30.6,22.9,25.6,28.2,54,18.7,SE,9.8,70,5.8,1019.3,25.5,28.3,16.4,No,No,Moderate,Thunderstorm
IMD1046,Madurai Weather Station,Tamil Nadu,Madurai,2022-02-03,Winter,25.2,12.4,19.4,5.571568132572635,49,8.7,N,6.2,74,1.2,1022.8,21.4,21.8,9.2,No,No,Light,Haze
IMD1047,Patiala Weather Station,Punjab,Patiala,2020-12-28,Winter,22.2,13.9,17.1,2.208722020710103,50,39.0,NE,11.7,62,11.2,1004.8,18.9,19.6,7.1,No,No,Light,Haze
IMD1048,Jorhat Weather Station,Assam,Jorhat,2024-06-17,Monsoon,28.5,19.9,24.9,44.3,72,31.6,S,5.7,61,2.1,1011.0,23.4,28.5,19.3,No,Yes,Moderate,Haze
IMD1049,Meerut Weather Station,Uttar Pradesh,Meerut,2022-11-22,Post-Monsoon,34.8,25.4,28.1,6.599752532491643,45,27.7,W,11.4,22,9.3,1012.1,30.5,30.4,17.1,No,No,Light,Fog
IMD1050,Meerut Weather Station,Uttar Pradesh,Meerut,2023-09-01,Monsoon,31.9,25.4,27.4,43.4,62,11.8,NW,4.1,54,9.0,1016.9,29.8,30.5,19.8,No,No,Moderate,Thunderstorm
IMD1051,Nashik Weather Station,Maharashtra,Nashik,2021-10-14,Post-Monsoon,25.7,17.5,21.6,4.415109787757372,41,39.2,NW,7.5,14,0.5,1022.2,24.5,23.7,9.8,No,No,Light,Rain
IMD1052,Hubballi Weather Station,Karnataka,Hubballi,2021-10-18,Post-Monsoon,28.9,18.8,24.2,1.0,52,29.5,SW,10.3,4,2.2,1010.1,25.5,26.8,14.6,No,No,Light,Cloudy
IMD1053,Jorhat Weather Station,Assam,Jorhat,2024-07-28,Monsoon,32.6,25.3,27.4,96.6,89,11.5,SW,8.6,86,0.9,1006.8,26.4,31.8,25.2,Yes,Yes,Heavy,Clear
IMD1054,Kanpur Weather Station,Uttar Pradesh,Kanpur,2023-02-17,Winter,20.3,13.8,18.2,4.237930218840632,52,16.6,NW,1.9,24,2.2,1005.7,17.3,20.8,8.6,No,No,Light,Haze
IMD1055,Guwahati Weather Station,Assam,Guwahati,2022-04-29,Summer,38.5,30.7,34.5,4.813679492521136,51,5.0,S,2.3,15,4.4,1009.3,33.5,37.0,24.7,No,Yes,Light,Thunderstorm
IMD1056,Silchar Weather Station,Assam,Silchar,2024-08-02,Monsoon,32.6,24.2,28.4,42.3,59,17.2,NE,14.1,64,4.7,1022.2,30.6,31.3,20.2,No,No,Moderate,Rain
IMD1057,Amritsar Weather Station,Punjab,Amritsar,2021-12-16,Winter,21.7,14.1,16.7,2.623608097101628,52,16.3,SW,1.5,26,9.6,1021.5,16.3,19.3,7.1,No,No,Light,Rain
IMD1058,Udaipur Weather Station,Rajasthan,Udaipur,2020-11-06,Post-Monsoon,26.8,19.3,22.4,7.47109910175167,41,25.0,E,3.9,30,8.4,1005.2,23.2,24.4,10.6,No,No,Light,Rain
IMD1059,Lucknow Weather Station,Uttar Pradesh,Lucknow,2024-05-09,Summer,37.3,27.1,33.0,18.052007891728397,61,25.4,NW,12.3,34,5.2,1003.1,35.6,36.0,25.2,No,No,Light,Clear
IMD1060,Siliguri Weather Station,West Bengal,Siliguri,2023-08-26,Monsoon,35.5,22.1,28.6,37.0,65,15.9,E,4.3,7,1.9,1011.4,28.7,31.9,21.6,No,No,Moderate,Haze
IMD1061,Madurai Weather Station,Tamil Nadu,Madurai,2023-06-02,Monsoon,28.5,21.8,25.3,8.4,57,10.3,W,12.3,10,7.0,1012.2,26.0,28.2,16.7,No,No,Light,Thunderstorm
IMD1062,Lucknow Weather Station,Uttar Pradesh,Lucknow,2023-11-22,Post-Monsoon,26.7,18.1,23.0,1.0885469493548976,41,38.6,S,6.8,20,5.5,1010.5,24.1,25.1,11.2,No,No,Light,Fog
IMD1063,Mysuru Weather Station,Karnataka,Mysuru,2024-07-30,Monsoon,30.8,22.8,27.8,37.1,64,37.2,SE,9.6,3,2.2,1027.4,29.7,31.0,20.6,No,No,Moderate,Fog
IMD1064,Meerut Weather Station,Uttar Pradesh,Meerut,2023-09-25,Monsoon,32.3,26.9,30.1,39.8,67,9.4,E,13.8,55,2.1,1010.6,33.0,33.5,23.5,No,No,Moderate,Fog
IMD1065,Hubballi Weather Station,Karnataka,Hubballi,2020-04-13,Summer,34.1,25.1,31.6,2.4789085801442567,45,27.2,E,7.3,16,7.0,1010.3,33.3,33.9,20.6,No,No,Light,Clear
IMD1066,Jorhat Weather Station,Assam,Jorhat,2023-06-14,Monsoon,31.9,22.1,27.7,47.2,65,36.7,E,3.7,38,8.9,1007.9,29.7,30.9,20.7,No,Yes,Moderate,Haze
IMD1067,Bengaluru Weather Station,Karnataka,Bengaluru,2023-04-18,Summer,40.4,32.6,35.8,2.3434016156323176,41,4.7,E,10.8,63,8.6,1007.3,36.9,37.8,24.0,No,No,Light,Haze
IMD1068,Hubballi Weather Station,Karnataka,Hubballi,2022-04-09,Summer,44.0,35.6,38.8,1.0,50,36.9,NE,12.1,32,6.7,1012.6,38.1,41.3,28.8,No,No,Light,Cloudy
IMD1069,Bengaluru Weather Station,Karnataka,Bengaluru,2023-06-18,Monsoon,30.8,23.2,28.8,40.4,59,17.0,S,14.7,9,2.2,999.8,28.4,31.8,20.6,No,No,Moderate,Clear
IMD1070,Chennai Weather Station,Tamil Nadu,Chennai,2022-06-12,Monsoon,30.0,19.0,24.2,27.9,54,11.3,E,7.2,95,8.8,1006.7,26.5,26.9,15.0,No,Yes,Moderate,Haze
IMD1071,Jorhat Weather Station,Assam,Jorhat,2022-10-10,Post-Monsoon,24.8,18.3,20.9,4.0253242340087265,50,38.4,S,4.7,67,1.1,1005.9,18.9,23.4,10.9,No,No,Light,Rain
IMD1072,Jorhat Weather Station,Assam,Jorhat,2024-09-03,Monsoon,27.8,21.0,23.9,16.7,50,26.3,SW,3.9,57,9.1,1012.9,26.0,26.4,13.9,No,Yes,Light,Haze
IMD1073,Siliguri Weather Station,West Bengal,Siliguri,2024-07-08,Monsoon,34.6,27.4,30.7,14.3,55,33.6,W,8.5,55,8.2,1014.3,28.7,33.5,21.7,No,Yes,Light,Thunderstorm
IMD1074,Bengaluru Weather Station,Karnataka,Bengaluru,2021-04-06,Summer,39.5,29.0,32.7,1.0,47,38.8,N,10.1,43,5.4,1014.7,34.0,35.1,22.1,No,No,Light,Cloudy
IMD1075,Chennai Weather Station,Tamil Nadu,Chennai,2020-02-16,Winter,26.1,17.2,20.1,12.729186603660324,48,27.1,E,4.4,16,2.1,1019.2,19.5,22.5,9.7,No,No,Light,Fog
IMD1076,Nagpur Weather Station,Maharashtra,Nagpur,2022-08-29,Monsoon,32.2,24.1,27.4,56.4,75,32.0,NE,4.3,98,5.3,1010.6,28.6,31.1,22.4,No,No,Moderate,Clear
IMD1077,Meerut Weather Station,Uttar Pradesh,Meerut,2022-01-20,Winter,20.7,11.5,17.3,5.108818103237218,54,25.1,N,4.3,59,9.2,1012.3,16.4,20.0,8.1,No,No,Light,Fog
IMD1078,Nashik Weather Station,Maharashtra,Nashik,2022-10-09,Post-Monsoon,31.5,18.7,25.3,1.8075630829856204,48,39.1,E,14.3,28,0.2,1009.8,28.1,27.7,14.9,No,No,Light,Clear
IMD1079,Silchar Weather Station,Assam,Silchar,2022-11-11,Post-Monsoon,36.1,27.5,31.0,1.0219612507944615,43,13.6,W,12.3,83,2.4,1021.6,32.1,33.1,19.6,No,Yes,Light,Clear
IMD1080,Hubballi Weather Station,Karnataka,Hubballi,2023-09-21,Monsoon,39.9,30.2,33.6,64.1,84,12.2,W,5.5,31,1.8,1003.0,36.3,37.8,30.4,No,No,Moderate,Haze
IMD1081,Jaipur Weather Station,Rajasthan,Jaipur,2021-04-21,Summer,32.4,21.0,27.3,10.773670813222848,42,15.4,N,10.1,50,11.5,1016.1,29.2,29.4,15.7,No,No,Light,Rain
IMD1082,Ludhiana Weather Station,Punjab,Ludhiana,2023-09-04,Monsoon,33.5,22.2,28.3,40.7,66,26.0,SE,7.2,80,3.7,1032.7,29.2,31.6,21.5,No,No,Moderate,Rain
IMD1083,Madurai Weather Station,Tamil Nadu,Madurai,2022-09-12,Monsoon,34.8,25.9,30.4,39.1,67,7.2,NW,8.3,82,1.6,1011.1,31.6,33.8,23.8,No,Yes,Moderate,Haze
IMD1084,Durgapur Weather Station,West Bengal,Durgapur,2022-01-08,Winter,20.7,13.1,16.2,1.8633866016707303,47,2.0,SE,3.4,78,1.5,1013.7,15.4,18.6,5.6,No,Yes,Light,Fog
IMD1085,Siliguri Weather Station,West Bengal,Siliguri,2022-11-18,Post-Monsoon,31.3,19.0,25.6,9.383055870444197,43,29.8,SE,14.4,85,1.9,1020.5,23.9,27.8,14.2,No,No,Light,Rain
IMD1086,Hubballi Weather Station,Karnataka,Hubballi,2021-11-22,Post-Monsoon,29.3,20.5,25.3,1.6351457115935888,39,22.0,S,10.1,48,11.7,1003.8,26.8,27.2,13.1,No,No,Light,Fog
IMD1087,Meerut Weather Station,Uttar Pradesh,Meerut,2022-05-17,Summer,32.3,24.5,29.2,5.622676691036783,40,8.2,W,9.9,99,5.5,1002.8,31.1,31.2,17.2,No,No,Light,Clear
IMD1088,Guwahati Weather Station,Assam,Guwahati,2020-02-07,Winter,21.1,10.5,16.0,11.101144261803569,54,3.4,NE,2.9,82,2.3,1010.2,15.3,18.7,6.8,No,Yes,Light,Cloudy
IMD1089,Pune Weather Station,Maharashtra,Pune,2022-06-24,Monsoon,32.5,27.0,30.1,14.9,54,22.6,E,11.3,63,8.9,1017.7,31.0,32.8,20.9,No,No,Light,Haze
IMD1090,Bengaluru Weather Station,Karnataka,Bengaluru,2023-06-27,Monsoon,28.3,19.9,24.2,17.4,56,34.0,NE,3.0,57,7.0,1015.9,23.4,27.0,15.4,No,No,Light,Fog
IMD1091,Bengaluru Weather Station,Karnataka,Bengaluru,2020-10-13,Post-Monsoon,29.8,24.2,26.6,12.810555960321782,51,30.9,S,2.3,30,0.0,1001.4,25.9,29.2,16.8,No,No,Light,Rain
IMD1092,Ludhiana Weather Station,Punjab,Ludhiana,2024-12-04,Winter,21.2,13.0,16.6,1.0,39,28.4,S,2.1,85,8.3,1006.5,17.9,18.6,4.4,No,No,Light,Fog
IMD1093,Mysuru Weather Station,Karnataka,Mysuru,2022-03-22,Summer,39.0,26.1,32.7,1.0,43,22.7,NW,1.5,100,9.2,1000.4,34.9,34.9,21.3,No,No,Light,Clear
IMD1094,Kolkata Weather Station,West Bengal,Kolkata,2022-08-27,Monsoon,36.4,26.3,31.8,15.5,44,36.8,SE,14.5,93,10.9,1013.9,30.4,34.0,20.6,No,Yes,Light,Fog
IMD1095,Coimbatore Weather Station,Tamil Nadu,Coimbatore,2024-11-17,Post-Monsoon,24.2,15.2,21.9,5.415470114406764,53,1.7,NE,4.8,64,0.9,1005.7,22.0,24.5,12.5,No,No,Light,Rain
IMD1096,Meerut Weather Station,Uttar Pradesh,Meerut,2020-09-08,Monsoon,27.5,16.3,22.2,59.6,75,21.8,SW,13.4,80,7.7,1015.9,24.9,25.9,17.2,No,No,Moderate,Rain
IMD1097,Bengaluru Weather Station,Karnataka,Bengaluru,2020-12-12,Winter,24.7,14.5,18.8,3.4768005531463646,40,4.6,SE,7.2,30,8.4,1017.4,18.3,20.8,6.8,No,No,Light,Fog
IMD1098,Madurai Weather Station,Tamil Nadu,Madurai,2024-04-01,Summer,37.9,26.5,31.5,6.016151906197781,40,29.3,NE,7.1,16,1.7,1015.7,33.9,33.5,19.5,No,Yes,Light,Haze
IMD1099,Amritsar Weather Station,Punjab,Amritsar,2022-08-02,Monsoon,29.2,23.3,26.5,89.2,84,24.9,S,5.7,40,11.1,1010.7,26.7,30.7,23.3,Yes,No,Heavy,Clear
IMD1100,Nashik Weather Station,Maharashtra,Nashik,2021-05-20,Summer,39.0,30.9,35.0,4.289615865090731,40,11.2,SE,5.1,85,6.5,1011.1,35.3,37.0,23.0,No,No,Light,Cloudy
IMD1101,Kanpur Weather Station,Uttar Pradesh,Kanpur,2021-03-22,Summer,42.5,32.7,36.2,1.0,47,8.2,NE,6.7,30,5.0,1019.4,37.8,38.6,25.6,No,No,Light,Thunderstorm
IMD1102,Lucknow Weather Station,Uttar Pradesh,Lucknow,2024-03-20,Summer,41.5,33.0,38.1,4.496152741167333,46,18.1,E,12.4,39,3.6,1011.1,40.9,40.4,27.3,No,No,Light,Clear
IMD1103,Mysuru Weather Station,Karnataka,Mysuru,2024-01-26,Winter,22.5,13.1,19.4,2.702726233419451,49,12.4,E,13.3,54,10.7,1010.9,21.1,21.8,9.2,No,No,Light,Fog
IMD1104,Mysuru Weather Station,Karnataka,Mysuru,2020-05-11,Summer,37.6,29.4,31.5,1.0,41,5.8,E,14.5,70,10.2,1002.6,34.1,33.5,19.7,No,No,Light,Fog
IMD1105,Pune Weather Station,Maharashtra,Pune,2020-01-14,Winter,17.0,7.1,13.8,7.476787484515722,56,21.0,E,10.7,62,1.1,1009.2,16.0,16.6,5.0,No,No,Light,Fog
IMD1106,Hubballi Weather Station,Karnataka,Hubballi,2021-06-11,Monsoon,26.6,17.5,22.7,32.1,69,23.5,E,3.4,37,9.4,1016.1,23.2,26.1,16.5,No,No,Moderate,Thunderstorm
IMD1107,Meerut Weather Station,Uttar Pradesh,Meerut,2024-10-02,Post-Monsoon,28.2,17.3,23.2,1.0,51,29.1,E,12.2,98,2.7,1011.0,24.1,25.8,13.4,No,No,Light,Haze
IMD1108,Ludhiana Weather Station,Punjab,Ludhiana,2021-10-28,Post-Monsoon,33.5,24.0,29.6,2.3495386244353904,44,12.6,W,1.5,96,8.5,1014.8,32.1,31.8,18.4,No,No,Light,Thunderstorm
IMD1109,Bengaluru Weather Station,Karnataka,Bengaluru,2022-07-18,Monsoon,33.8,24.9,27.5,13.1,55,14.5,SE,3.8,28,6.3,1021.5,29.6,30.2,18.5,No,No,Light,Fog
IMD1110,Bengaluru Weather Station,Karnataka,Bengaluru,2024-03-02,Summer,35.8,29.1,32.5,1.796522475938431,42,23.8,N,5.4,33,5.2,1008.9,30.9,34.6,20.9,No,No,Light,Rain
IMD1111,Siliguri Weather Station,West Bengal,Siliguri,2023-09-27,Monsoon,35.0,21.7,28.1,74.5,85,23.2,NW,14.8,63,4.7,1011.8,30.9,32.4,25.1,No,Yes,Moderate,Clear
IMD1112,Amritsar Weather Station,Punjab,Amritsar,2022-06-03,Monsoon,31.5,22.8,28.5,19.5,46,36.4,E,9.5,12,2.7,1024.0,29.8,30.8,17.7,No,No,Light,Fog
IMD1113,Madurai Weather Station,Tamil Nadu,Madurai,2024-03-18,Summer,36.2,28.7,33.4,1.2669599958902595,53,19.6,N,5.2,36,4.7,1009.5,34.7,36.0,24.0,No,Yes,Light,Rain
IMD1114,Amritsar Weather Station,Punjab,Amritsar,2024-02-02,Winter,20.8,9.6,14.3,12.30069560157254,44,21.8,NW,8.3,16,3.4,1009.2,16.7,16.5,3.1,No,No,Light,Fog
IMD1115,Madurai Weather Station,Tamil Nadu,Madurai,2022-04-30,Summer,37.7,31.8,34.8,2.3314165930851445,44,37.4,NW,14.7,31,0.2,1006.3,37.4,37.0,23.6,No,No,Light,Fog
IMD1116,Nagpur Weather Station,Maharashtra,Nagpur,2022-10-19,Post-Monsoon,21.7,12.7,18.3,8.109361484091215,47,19.8,SW,10.7,47,3.9,1004.1,19.0,20.7,7.7,No,No,Light,Rain
IMD1117,Pune Weather Station,Maharashtra,Pune,2024-11-15,Post-Monsoon,29.8,19.4,24.6,1.0,42,36.3,SW,4.6,65,8.4,999.5,27.2,26.7,13.0,No,No,Light,Haze
IMD1118,Mysuru Weather Station,Karnataka,Mysuru,2023-09-17,Monsoon,36.6,28.5,33.2,20.7,54,35.0,SW,10.6,97,7.4,1011.6,35.5,35.9,24.0,No,No,Moderate,Thunderstorm
IMD1119,Jodhpur Weather Station,Rajasthan,Jodhpur,2023-12-01,Winter,24.8,18.1,20.4,1.8807131258102971,40,36.0,E,8.5,37,11.5,1019.9,23.0,22.4,8.4,No,No,Light,Clear
IMD1120,Chennai Weather Station,Tamil Nadu,Chennai,2021-07-15,Monsoon,31.0,21.6,28.4,17.0,56,6.6,SW,10.9,80,9.5,1016.8,30.7,31.2,19.6,No,No,Light,Clear
IMD1121,Patiala Weather Station,Punjab,Patiala,2022-06-14,Monsoon,32.9,25.3,27.6,36.6,69,38.3,E,8.2,30,0.7,1017.5,26.7,31.1,21.4,No,No,Moderate,Cloudy
IMD1122,Nashik Weather Station,Maharashtra,Nashik,2021-01-02,Winter,20.4,8.0,15.0,1.7201698528242768,42,31.4,SE,5.7,68,8.7,1012.8,17.5,17.1,3.4,No,No,Light,Thunderstorm
IMD1123,Siliguri Weather Station,West Bengal,Siliguri,2024-07-14,Monsoon,29.8,24.7,26.9,34.7,67,37.1,NE,12.4,78,10.4,1011.0,28.8,30.2,20.3,No,Yes,Moderate,Clear
IMD1124,Amritsar Weather Station,Punjab,Amritsar,2023-02-02,Winter,23.5,14.3,20.7,1.0,51,33.0,W,7.4,6,2.7,1020.1,21.8,23.2,10.9,No,No,Light,Clear
IMD1125,Kolkata Weather Station,West Bengal,Kolkata,2024-10-26,Post-Monsoon,25.7,16.9,22.7,1.3536749417486333,39,35.4,N,6.6,99,6.5,999.4,23.0,24.6,10.5,No,No,Light,Clear
