observation_id,date,station_id,country,latitude,longitude,elevation_m,avg_temperature_c,max_temperature_c,min_temperature_c,precipitation_mm,snowfall_cm,humidity_percent,wind_speed_kmh,wind_direction,solar_radiation_wm2,atmospheric_pressure_hpa,cloud_cover_percent,uv_index,soil_moisture_percent,drought_index,evapotranspiration_mm,air_quality_index,pm25,pm10,co2_ppm,methane_ppb,ozone_ppb,climate_zone,weather_event,disaster_risk
26,2023-11-25,NOAA1048,Mexico,34.1291,-123.6639,1055.3,10.7,17.2,3.6,25.6,0.0,50,43.0,W,530.6,1011.0,94,9,39.8,Low,3.4,110,20.8,45.9,414.0,1864.4,33.5,Temperate,Heatwave,Medium
27,2023-10-01,NOAA1046,USA,45.1721,-71.5861,2942.2,16.7,21.9,9.3,17.2,0.0,57,27.5,N,167.2,1022.7,54,3,45.8,Medium,2.87,103,24.5,45.6,424.3,2009.4,40.8,Arid,Storm,Medium
28,2021-07-23,NOAA1016,USA,36.2874,-81.3056,156.3,25.4,33.1,22.1,13.0,0.0,55,5.0,N,703.4,1004.4,31,4,43.9,Medium,5.05,107,23.0,56.9,423.9,1891.1,45.7,Polar,Rain,Medium
29,2023-12-03,NOAA1049,Canada,29.0269,-89.3869,2243.8,3.9,6.6,-3.0,12.6,0.0,50,43.5,NE,562.9,1009.4,39,10,37.8,Medium,2.5,117,31.3,47.7,426.2,1941.8,37.3,Polar,Fog,High
30,2021-05-12,NOAA1044,Canada,45.407,-89.7765,363.2,18.3,26.2,11.6,8.7,0.0,43,16.9,W,629.2,1014.4,8,9,32.5,Medium,2.77,122,31.0,47.8,423.1,1864.6,41.2,Arid,Fog,Medium
31,2023-12-19,NOAA1027,USA,42.6111,-68.968,810.2,2.2,9.0,-3.0,4.7,0.0,41,22.8,W,760.6,1020.0,75,5,25.9,High,0.82,105,26.6,56.7,428.5,1861.6,51.1,Continental,Coldwave,High
32,2023-09-30,NOAA1021,USA,36.8634,-105.4742,1462.6,27.6,31.7,24.0,8.0,0.0,51,14.0,S,544.6,1017.1,66,4,29.1,Medium,5.58,128,28.6,50.8,450.8,1922.8,49.1,Continental,Fog,High
33,2022-10-02,NOAA1001,USA,32.0617,-100.9491,729.9,20.8,26.8,16.6,21.3,0.0,61,25.8,SW,440.4,1003.8,95,9,40.0,Low,4.53,100,22.7,44.0,408.0,1906.6,33.2,Tropical,Storm,Low
34,2024-03-01,NOAA1048,Mexico,29.4436,-111.6661,1452.6,9.8,16.1,1.9,8.5,0.0,57,24.6,S,884.4,1018.5,24,5,35.5,Medium,1.83,96,30.0,48.3,407.1,1881.1,48.7,Temperate,None,High
35,2021-08-21,NOAA1040,Canada,27.4621,-123.3009,853.0,30.3,35.2,26.3,5.0,0.0,42,43.5,S,852.9,1017.4,61,2,34.6,Medium,5.35,104,29.5,61.2,409.8,1995.6,54.7,Tropical,Rain,High
36,2021-09-14,NOAA1015,USA,38.3938,-100.2781,1788.4,29.5,35.2,22.8,23.9,0.0,51,18.4,NW,337.9,996.8,75,7,32.6,Low,5.67,87,28.5,42.2,421.5,1873.5,46.8,Tropical,Storm,High
37,2020-06-15,NOAA1015,USA,38.2478,-115.0776,1225.6,24.8,30.9,20.0,12.2,0.0,47,3.4,S,665.6,1006.8,89,8,26.0,Medium,4.19,108,29.8,56.4,433.3,1886.6,37.5,Tropical,Heatwave,Low
38,2023-01-20,NOAA1041,USA,46.8019,-76.882,214.2,2.3,5.3,-1.5,2.7,0.0,43,34.2,S,451.3,1002.9,59,5,33.3,High,2.23,134,29.7,57.4,427.3,1984.9,48.3,Polar,None,Medium
39,2024-02-13,NOAA1038,Canada,25.6208,-110.9513,2022.9,-3.1,4.1,-8.6,8.9,0.4,50,34.9,S,561.0,1011.1,97,3,34.5,Medium,0.84,113,24.6,57.3,435.0,1899.2,32.5,Continental,None,Medium
40,2021-12-13,NOAA1021,Canada,41.0832,-75.1092,989.4,-3.2,3.0,-6.9,12.3,18.9,55,37.0,N,463.9,1026.1,40,5,35.7,Medium,1.46,117,30.6,60.3,408.6,1882.4,41.0,Temperate,Fog,High
41,2022-08-04,NOAA1003,USA,37.4425,-88.5099,1495.5,35.8,40.5,33.5,3.3,0.0,49,13.5,E,842.1,1016.2,56,8,28.2,High,7.32,116,31.3,54.6,427.3,1891.9,40.5,Temperate,Coldwave,Medium
42,2020-07-09,NOAA1007,Canada,47.7295,-87.0805,461.9,33.6,41.2,29.8,14.7,0.0,50,32.3,W,767.8,1025.7,60,4,34.3,Medium,5.33,102,30.5,52.8,410.1,1985.3,24.4,Tropical,None,Medium
43,2024-05-01,NOAA1021,Mexico,31.4121,-123.8538,2178.2,21.4,28.4,15.9,20.4,0.0,60,30.4,E,457.2,1009.1,61,6,39.3,Low,4.74,108,24.5,46.2,421.7,1935.4,36.3,Tropical,Fog,Low
44,2023-03-17,NOAA1014,Canada,26.0475,-81.5518,2115.7,7.5,14.4,3.2,10.0,0.0,53,30.5,E,496.3,1020.2,4,3,37.1,Medium,2.31,101,31.2,53.8,422.5,1932.5,45.0,Polar,Heatwave,Low
45,2024-01-19,NOAA1026,Mexico,48.279,-119.7348,2344.6,-2.3,1.3,-8.0,8.3,7.9,43,5.5,SW,781.9,998.7,68,7,37.4,Medium,0.91,127,31.6,46.6,410.2,1873.2,49.3,Temperate,Rain,High
46,2023-11-02,NOAA1014,Mexico,27.1691,-68.2347,2281.1,15.2,21.4,12.6,9.3,0.0,49,9.2,S,822.7,1023.4,5,6,39.0,Medium,2.87,118,27.0,50.2,420.2,1927.3,37.5,Continental,Coldwave,High
47,2024-06-11,NOAA1010,USA,26.8952,-74.3621,1859.1,29.3,32.7,21.8,12.0,0.0,47,8.2,NW,610.3,1028.3,58,5,35.6,Medium,6.19,122,31.0,57.6,428.5,1828.3,36.4,Tropical,None,Medium
48,2021-12-08,NOAA1019,Mexico,48.0887,-84.6521,1370.5,6.8,10.6,-1.2,4.4,0.0,55,38.7,NE,289.8,1018.0,73,6,39.7,High,3.01,118,24.1,64.4,425.0,1899.5,32.8,Continental,Storm,Low
49,2023-03-05,NOAA1038,Mexico,36.9215,-72.4631,858.6,10.3,17.1,4.7,7.5,0.0,40,17.1,SE,596.7,1010.5,86,11,30.9,Medium,1.82,103,32.2,59.2,426.4,1924.6,50.9,Arid,Heatwave,Low
50,2023-04-01,NOAA1046,USA,27.1632,-107.1787,2242.4,14.3,17.4,11.5,15.6,0.0,55,25.2,SW,524.7,1009.2,34,3,34.6,Medium,3.79,119,30.8,48.1,421.9,1842.1,28.7,Arid,None,Medium
51,2020-06-03,NOAA1048,USA,45.6434,-82.7196,2939.8,25.1,32.9,18.3,11.2,0.0,45,17.7,W,111.1,996.7,68,2,30.8,Medium,5.11,109,28.0,60.8,432.6,1887.9,40.0,Arid,None,High
52,2021-04-23,NOAA1001,Mexico,46.2216,-91.9998,2745.8,13.3,16.6,10.9,12.8,0.0,57,37.4,S,619.4,1015.6,14,3,32.6,Medium,2.07,123,23.0,48.3,413.4,1920.8,52.3,Polar,Rain,Medium
53,2022-07-18,NOAA1042,Mexico,41.7156,-93.209,1762.0,30.6,37.0,23.3,17.9,0.0,56,30.2,NW,592.5,1010.3,35,1,42.2,Medium,5.02,115,30.0,58.2,423.7,1902.8,47.9,Temperate,Fog,Medium
54,2023-01-20,NOAA1022,USA,34.5554,-113.1809,366.5,2.9,10.0,-1.8,13.9,0.0,63,30.5,N,140.5,1024.6,42,4,51.9,Medium,2.01,104,22.2,58.4,427.7,1986.1,33.9,Tropical,Coldwave,Low
55,2024-07-23,NOAA1021,USA,43.9275,-90.029,831.8,34.5,42.4,26.6,15.3,0.0,51,25.2,E,187.9,1012.1,3,3,27.9,Medium,6.75,104,27.1,42.7,427.8,1841.9,46.3,Arid,None,Low
56,2024-02-28,NOAA1033,USA,42.896,-96.854,2334.1,2.4,7.5,-0.3,3.7,0.0,50,23.7,N,681.8,1006.9,84,9,31.8,High,1.65,102,24.7,57.7,421.2,1913.7,55.0,Continental,Heatwave,High
57,2020-08-09,NOAA1045,Canada,26.7638,-119.3949,1824.9,33.8,36.2,30.1,8.2,0.0,54,29.2,SW,404.7,1018.9,76,9,34.5,Medium,6.08,123,23.9,59.9,431.8,1928.0,38.9,Polar,Fog,Low
58,2022-05-30,NOAA1014,Canada,33.1344,-98.1506,1248.0,21.7,24.3,17.1,10.6,0.0,55,30.6,SW,862.9,999.3,87,8,31.6,Medium,4.92,99,26.7,59.6,430.8,1895.4,49.9,Arid,Rain,High
59,2020-05-02,NOAA1035,Mexico,32.9115,-117.0328,1060.8,15.6,21.6,9.1,8.1,0.0,57,39.3,N,874.7,1015.1,76,5,37.5,Medium,3.5,109,24.5,55.6,422.4,1960.6,42.5,Temperate,Storm,High
60,2022-01-22,NOAA1048,Canada,38.7784,-77.9884,2535.5,-0.3,7.5,-7.2,2.7,12.3,39,29.6,N,587.2,1014.0,84,5,19.8,High,0.5,121,33.5,55.7,424.1,1928.5,31.0,Tropical,Rain,High
61,2023-09-08,NOAA1004,USA,42.7833,-68.6068,275.3,17.9,23.1,13.6,31.4,0.0,65,21.5,E,396.0,1014.9,92,6,49.9,Low,3.82,78,26.0,37.4,436.4,1904.6,52.4,Polar,None,High
62,2020-06-16,NOAA1028,Mexico,35.1764,-89.3967,1242.6,28.7,32.0,23.6,29.1,0.0,60,16.8,NE,326.6,1011.0,86,10,41.8,Low,5.64,77,19.9,55.1,427.8,1925.8,50.9,Temperate,None,Low
63,2021-09-09,NOAA1049,USA,43.3399,-107.5015,360.0,20.1,25.1,15.5,21.7,0.0,54,7.6,SE,500.2,999.2,85,6,31.0,Low,4.74,85,23.9,48.3,431.6,1935.4,38.9,Temperate,Storm,High
64,2022-05-29,NOAA1025,Mexico,40.3634,-107.4976,1215.1,22.8,30.6,19.8,1.1,0.0,53,42.7,NW,765.6,1026.0,46,2,36.1,High,3.63,130,30.6,59.9,409.0,1831.9,39.6,Continental,Storm,High
65,2021-11-26,NOAA1021,USA,26.8331,-87.9062,1591.8,10.5,13.7,3.8,13.0,0.0,49,17.1,E,289.0,1022.0,18,5,29.5,Medium,2.78,96,23.5,59.0,408.5,1895.1,39.4,Continental,Heatwave,High
66,2024-04-05,NOAA1028,Mexico,47.1797,-91.824,1905.9,11.6,17.3,4.4,19.0,0.0,64,29.0,E,451.8,1012.5,60,8,46.9,Medium,3.33,89,23.8,42.0,427.6,1860.6,44.0,Continental,Heatwave,Low
67,2020-04-26,NOAA1018,USA,40.472,-68.29,270.9,13.9,19.5,9.6,6.7,0.0,50,27.0,N,459.8,1001.5,73,11,30.0,Medium,3.3,130,24.8,47.9,418.5,1902.3,21.7,Temperate,Storm,High
68,2020-06-21,NOAA1041,USA,25.9394,-83.6656,2973.0,27.6,32.7,21.9,13.8,0.0,59,17.6,S,409.9,1007.4,99,6,44.2,Medium,4.24,112,22.2,45.0,421.7,1895.5,38.2,Continental,Storm,Medium
69,2024-01-22,NOAA1009,Canada,26.956,-86.1741,2750.2,3.5,7.4,-2.4,22.8,0.0,67,30.5,E,576.0,1008.6,10,5,47.8,Low,1.81,103,27.4,52.0,410.2,1995.0,37.5,Polar,None,High
70,2023-10-05,NOAA1032,Canada,25.4375,-106.3946,2853.5,14.5,18.6,7.9,1.1,0.0,48,10.3,E,224.0,1017.6,37,2,33.7,High,3.25,136,25.1,56.2,422.5,2023.2,49.0,Polar,Rain,High
71,2022-02-10,NOAA1010,USA,44.9523,-80.0474,2427.1,2.5,5.5,-2.1,5.7,0.0,42,19.7,SE,875.7,1006.5,78,5,33.4,Medium,1.94,113,28.9,53.3,412.8,1892.5,39.6,Continental,Rain,Medium
72,2023-10-21,NOAA1028,Canada,43.4665,-79.6469,1508.7,12.8,17.3,9.8,7.7,0.0,57,10.6,E,798.4,1026.5,6,11,39.6,Medium,2.66,103,30.2,56.5,427.1,1899.7,51.8,Temperate,Storm,Low
73,2024-04-11,NOAA1017,Canada,46.7273,-115.6011,1312.4,16.3,24.0,13.0,6.3,0.0,43,21.4,SW,844.4,1009.5,53,1,28.4,Medium,3.19,122,33.4,54.3,432.7,1884.5,34.7,Temperate,Storm,Low
74,2024-09-14,NOAA1021,USA,28.3024,-107.6479,2489.3,29.6,35.8,26.8,3.9,0.0,57,32.3,NW,592.3,1001.8,10,1,36.0,High,6.11,136,33.4,60.2,424.5,1874.0,36.1,Continental,None,Medium
75,2021-05-01,NOAA1007,USA,30.7225,-87.5798,1868.4,19.6,22.0,12.6,6.3,0.0,47,23.5,N,605.6,993.0,73,4,36.4,Medium,3.52,98,29.6,51.7,425.5,1915.6,39.3,Continental,Rain,High
76,2023-09-30,NOAA1033,Canada,26.6243,-94.0146,1522.0,24.9,32.8,19.6,16.4,0.0,46,18.8,NW,134.8,1017.0,49,6,28.3,Medium,3.77,92,24.3,56.5,412.2,1904.0,46.0,Temperate,Coldwave,High
77,2024-03-29,NOAA1008,USA,33.4552,-104.7028,1928.4,3.3,10.3,-2.8,19.8,0.0,56,44.2,NW,605.4,1008.5,17,2,42.7,Medium,2.38,87,23.0,41.0,412.0,1911.2,18.1,Tropical,None,Medium
78,2021-09-27,NOAA1025,Mexico,36.3616,-121.9126,1940.7,22.2,25.9,15.0,10.4,0.0,57,4.1,SW,318.6,1018.1,47,7,46.1,Medium,4.82,118,25.8,48.5,406.7,1897.4,30.3,Continental,Storm,High
79,2021-06-30,NOAA1046,Canada,26.8942,-89.6602,2467.0,25.4,30.7,21.5,13.8,0.0,45,5.4,S,345.2,1008.2,77,7,26.2,Medium,4.7,119,22.0,60.5,426.1,1944.3,46.2,Arid,Coldwave,Medium
80,2021-07-16,NOAA1003,USA,41.1084,-100.846,1539.3,28.1,34.6,25.1,57.6,0.0,89,3.3,NW,127.8,1017.6,8,4,66.8,Low,4.95,71,20.1,21.8,418.4,1914.8,35.2,Tropical,Fog,Medium
81,2022-01-29,NOAA1028,USA,38.7741,-93.8208,1194.1,1.3,7.2,-2.2,11.8,2.3,53,33.6,NW,514.2,1012.0,71,2,33.3,Medium,0.72,121,24.2,56.3,420.9,1876.2,44.7,Continental,Rain,Low
82,2020-10-04,NOAA1028,USA,46.5683,-98.6287,263.4,15.7,21.8,8.6,10.3,0.0,43,15.7,SW,667.6,1015.3,70,9,26.7,Medium,2.95,104,29.5,63.4,436.6,1934.8,37.4,Tropical,Storm,High
83,2021-04-04,NOAA1012,USA,30.6817,-95.8407,1082.7,20.8,26.2,16.0,9.5,0.0,43,44.3,E,589.6,1007.6,11,2,27.0,Medium,5.12,125,27.9,60.6,402.2,1942.1,33.3,Polar,None,Low
84,2021-10-11,NOAA1004,Canada,36.18,-94.5105,385.0,10.7,17.7,5.4,13.5,0.0,63,27.3,E,446.1,1019.6,7,2,44.4,Medium,2.21,101,24.9,57.4,402.3,1909.4,46.2,Arid,Coldwave,Medium
85,2024-09-28,NOAA1016,USA,40.2414,-92.602,375.5,18.1,21.9,12.9,29.0,0.0,54,23.6,E,573.4,1017.1,74,3,32.5,Low,3.96,97,26.2,46.8,430.0,1938.6,40.7,Temperate,None,Low
86,2023-08-06,NOAA1016,Mexico,30.0594,-91.3882,1854.3,28.1,30.3,20.8,18.0,0.0,63,25.5,S,486.4,1019.6,87,7,40.9,Medium,4.36,90,22.1,49.3,413.2,1902.9,36.2,Continental,Rain,Medium
87,2023-05-27,NOAA1020,Mexico,32.6636,-67.6827,1036.1,23.9,28.3,17.3,17.1,0.0,49,24.1,NE,355.3,1023.3,59,2,30.6,Medium,4.08,93,21.2,60.4,416.4,1882.9,35.6,Polar,Heatwave,Low
88,2024-11-07,NOAA1020,Mexico,42.3071,-113.1795,478.0,12.9,20.9,8.1,26.1,0.0,55,39.8,NW,118.5,1016.3,50,9,37.8,Low,2.42,100,19.0,42.6,435.0,1869.0,30.0,Polar,Fog,High
89,2022-08-21,NOAA1034,USA,45.3321,-99.4371,2647.4,22.9,29.3,16.3,35.5,0.0,65,17.7,W,140.9,1014.4,71,4,43.3,Low,4.01,93,21.2,47.5,441.1,1891.9,40.4,Arid,Coldwave,High
90,2023-06-05,NOAA1008,USA,34.4537,-78.6909,1017.3,35.1,42.7,28.6,20.4,0.0,50,10.6,W,500.1,1006.7,5,1,29.2,Low,5.93,114,25.1,42.8,423.8,1975.3,50.8,Polar,Rain,Medium
91,2023-06-09,NOAA1010,Canada,48.7748,-81.8588,897.7,34.4,38.4,27.4,8.7,0.0,50,24.9,S,479.9,1012.3,2,6,32.3,Medium,5.38,122,28.7,61.6,426.2,2001.5,44.2,Temperate,Coldwave,Medium
92,2021-06-27,NOAA1049,Mexico,38.8632,-82.8802,1750.6,25.6,28.6,19.8,12.0,0.0,62,28.6,W,218.2,1004.9,87,4,35.9,Medium,5.74,100,23.9,52.8,406.8,1932.9,40.6,Continental,Rain,Medium
93,2023-11-15,NOAA1026,Mexico,43.5993,-71.5303,2618.5,3.8,10.2,1.4,3.9,0.0,43,7.9,SE,548.7,1001.0,84,8,30.5,High,1.2,112,28.6,58.7,417.9,1855.0,38.8,Polar,Storm,High
94,2024-04-30,NOAA1044,Canada,39.6418,-113.0409,739.6,16.0,21.3,12.7,3.8,0.0,57,43.8,S,716.9,1011.2,90,4,42.9,High,3.38,131,27.5,66.8,425.6,1974.0,49.0,Arid,Storm,Low
95,2023-03-20,NOAA1024,Canada,44.6411,-69.5873,2413.8,8.9,12.6,5.2,4.9,0.0,54,32.7,SW,839.2,1013.0,83,5,41.8,High,1.76,134,26.5,58.8,421.3,1872.9,41.2,Arid,Rain,Low
96,2023-06-14,NOAA1015,USA,26.2184,-72.4045,677.0,24.9,28.3,22.3,21.6,0.0,65,16.2,NW,180.4,1008.4,98,3,37.6,Low,4.84,93,23.7,57.9,415.6,1898.7,35.7,Continental,Heatwave,High
97,2021-02-12,NOAA1020,Canada,40.5016,-72.2476,268.4,0.1,5.5,-5.1,14.5,14.5,52,42.3,E,434.3,1024.1,22,1,44.4,Medium,0.81,121,23.2,57.7,398.7,1816.9,30.1,Arid,None,Low
98,2021-09-03,NOAA1038,USA,47.2829,-104.9026,1363.0,19.3,25.1,14.2,15.5,0.0,62,40.2,E,780.8,1001.7,59,5,38.5,Medium,3.12,99,28.4,55.2,413.8,1855.6,54.0,Tropical,None,High
99,2021-11-21,NOAA1036,Mexico,43.1748,-113.9968,2568.4,12.7,20.1,5.7,31.2,0.0,62,24.2,NE,420.7,1007.4,12,3,51.1,Low,2.86,88,17.3,42.1,414.2,1903.9,39.0,Continental,Storm,Medium
100,2021-09-10,NOAA1046,Mexico,25.2745,-86.74,2078.3,26.0,28.4,23.3,5.1,0.0,56,15.2,W,648.9,1011.1,90,5,42.2,Medium,5.18,117,27.4,51.9,417.0,1928.4,43.6,Tropical,Heatwave,Low
101,2022-07-20,NOAA1023,Canada,41.8466,-71.9706,2272.1,29.6,36.4,22.6,29.2,0.0,71,34.8,NE,520.4,1007.7,67,6,42.9,Low,5.57,78,26.0,53.5,412.5,1833.2,54.1,Tropical,Coldwave,High
102,2020-11-02,NOAA1020,Mexico,35.6042,-85.2232,2150.8,4.0,8.9,-3.4,6.6,0.0,43,21.2,N,462.7,1000.5,65,7,29.4,Medium,0.72,127,30.1,52.9,424.8,1848.8,54.0,Temperate,Heatwave,Medium
103,2024-07-30,NOAA1047,USA,38.8795,-121.4185,1033.6,22.7,25.1,14.7,39.6,0.0,58,42.2,NE,888.9,1020.8,60,1,37.2,Low,3.76,73,22.8,49.8,419.8,1886.6,50.8,Continental,Storm,Medium
104,2022-07-07,NOAA1024,USA,41.3855,-86.2778,1617.9,39.6,45.5,35.5,21.6,0.0,59,9.7,W,523.1,1014.4,93,4,46.7,Low,7.45,102,24.2,53.6,418.5,1900.7,42.8,Continental,Coldwave,Medium
105,2024-08-13,NOAA1015,Canada,33.3078,-108.288,2812.2,27.8,34.2,25.1,6.8,0.0,46,36.8,W,591.9,1000.0,2,4,27.5,Medium,4.37,100,27.8,60.0,424.4,1980.2,45.7,Temperate,Rain,High
106,2020-03-31,NOAA1028,USA,37.9542,-81.0,2328.2,8.1,10.9,0.1,19.5,0.0,58,12.1,SW,562.0,1015.0,98,11,45.7,Medium,1.69,94,30.0,50.7,427.9,1966.6,48.1,Continental,Storm,Medium
107,2020-05-04,NOAA1037,Mexico,46.8779,-88.3184,1281.6,14.6,19.6,6.8,4.0,0.0,54,42.5,W,728.6,1010.2,40,7,36.3,High,2.79,112,31.5,57.5,421.6,1842.6,44.6,Tropical,Storm,High
108,2020-10-22,NOAA1003,Mexico,34.9043,-100.2591,1590.0,10.9,15.2,7.4,6.7,0.0,53,16.2,NE,837.8,1005.2,47,2,37.7,Medium,3.29,101,26.0,60.1,428.4,1862.0,61.1,Polar,None,Low
109,2021-01-20,NOAA1046,Mexico,38.4124,-96.6745,2608.4,3.0,7.0,-4.7,15.3,0.0,62,2.7,SE,869.7,1017.9,15,8,50.0,Medium,1.84,102,25.1,47.1,407.8,1899.8,34.7,Arid,Storm,Medium
110,2022-08-12,NOAA1041,Canada,32.4021,-103.5003,2648.4,23.2,28.0,16.4,26.3,0.0,67,33.1,SW,831.5,1012.7,47,6,45.5,Low,4.61,92,25.8,37.2,434.2,1874.9,54.5,Polar,Coldwave,High
